"taskai","vidurkis","trasos","uolos","viso_laipioja_metu","lygis","amzius_kai_pradejo","birth","ugis","svoris","lytis"
"5445","453.75","10","4","4","6B+","23","1975-09-24 00:00:00","168","63","1"
"1254033","857.75","1442","86","31","8B+","18","1968-04-29 00:00:00","180","68","0"
"796037","821.50","887","83","17","8A+","21","1977-12-09 00:00:00","186","73","0"
"32864","476.29","68","12","6","6C+","24","1976-08-25 00:00:00","160","53","1"
"335250","805.89","372","63","19","8A","18","1973-09-16 00:00:00","179","63","0"
"182346","825.10","219","18","8","8A","16","1979-08-16 00:00:00","180","68","0"
"9093","303.10","27","5","5","6C","17","1981-05-01 00:00:00","182","98","0"
"51503","780.35","65","6","5","8A","16","1976-06-26 00:00:00","178","73","0"
"80697","625.56","127","20","8","7C","35","1964-01-27 00:00:00","175","68","0"
"23738","818.55","22","8","3","8B","38","1975-11-02 00:00:00","175","63","0"
"200759","908.41","196","22","15","8B","21","1970-06-10 00:00:00","180","73","0"
"146949","874.70","164","20","14","8B+","20","1975-03-27 00:00:00","183","78","0"
"16192","279.17","24","3","2","6C","16","1982-10-24 00:00:00","178","73","0"
"99517","737.16","132","16","4","7C","18","1968-10-10 00:00:00","185","83","0"
"922421","982.34","869","96","23","8B+","15","1978-01-31 00:00:00","170","63","0"
"2494","831.33","3","3","1","7C","16","1978-11-10 00:00:00","178","73","0"
"10785","674.06","7","6","2","7A","19","1981-05-12 00:00:00","180","58","0"
"95808","825.93","81","13","5","8B","18","1979-11-24 00:00:00","164","48","0"
"9631","401.29","20","4","6","6C","25","1973-10-11 00:00:00","190","88","0"
"14567","469.90","29","2","2","7B","12","1987-03-14 00:00:00","165","53","0"
"30653","666.37","46","10","3","7A","32","1950-06-20 00:00:00","183","78","0"
"27024","529.88","51","5","2","6C","23","1978-06-28 00:00:00","172","78","0"
"441091","720.74","611","46","18","8A+","24","1969-09-04 00:00:00","169","78","0"
"6472","431.47","15","1","1","6C+","21","1977-05-08 00:00:00","175","58","0"
"17268","595.45","29","10","5","7B","29","1971-05-07 00:00:00","195","83","0"
"525695","794.10","659","57","22","8B","15","1978-04-26 00:00:00","170","53","1"
"37974","703.22","45","11","4","7C","13","1979-05-05 00:00:00","180","78","0"
"28584","680.57","41","6","3","7B+","16","1982-04-22 00:00:00","189","78","0"
"244402","798.70","301","33","16","8A+","15","1978-12-24 00:00:00","180","83","0"
"3051","610.20","5","3","1","7A","8","1987-01-06 00:00:00","160","53","0"
"34145","832.80","25","14","5","7C+","15","1980-07-19 00:00:00","178","63","0"
"45700","550.60","70","5","9","7A+","26","1974-03-07 00:00:00","175","53","0"
"7260","558.46","13","2","1","6C","23","1978-02-19 00:00:00","173","73","0"
